filename,duration,model,transcription,processing_time,processing_time_per_duration,status
dataset/kaggle/Speaker0033/Speaker0033_004.wav,60000.36 ms,whisper_cpp,"[t0=0, t1=720, text=for a bird dulled by much protection, and the only possible modus fivendi between those concerned, t0=720, t1=1456, text=must rest on a policy of given take that deliberately ignores the facts of the case., t0=1456, t1=2064, text=More interesting on academic grounds at any rate is the process of education noticeable, t0=2064, t1=2580, text=in presence in parts of the country where they are regularly shot., t0=2580, t1=3280, text=The report is a great educator. Foxes certainly and hairs probably run the faster for being hunted., t0=3280, t1=4032, text=Indeed the fox appears to have acquired its pace solely as the result of the chase since, t0=4032, t1=4528, text=it does not figure in the Bible as a swift creature., t0=4528, t1=5160, text=The genuine wild pheasant in its native region, a little beyond the Caucasus, is in all, t0=5160, t1=5884, text=probability, a very different bird from its half domesticated kinsmen in Britain., t0=5884, t1=6000, text=I have been closed]",545.47 ms,0.01,Success
dataset/kaggle/Speaker0033/Speaker0033_004.wav,60000.36 ms,openai_whisper," for a bird dulled by much protection, and the only possible modus fivendi between those concerned must rest on a policy of given take that deliberately ignores the facts of the case. More interesting on academic grounds at any rate is the process of education noticeable in presence in parts of the country where they are regularly shot. Is a great educator. Foxes certainly and hairs probably run the faster for being hunted. Indeed the fox appears to have acquired its pace solely as the result of the chase, since it does not figure in the Bible as a swift creature. The genuine wild pheasant in its native region, a little beyond the Caucasus, is in all probability, a very different bird from its half domesticated kinsman in Britain. I have been closed.",933.01 ms,0.02,Success
dataset/kaggle/Speaker0033/Speaker0033_004.wav,60000.36 ms,vosk,for a bird dulled by much protection and the only possible modus vivendi between those concerned must rests on a policy of give and take that deliberately ignores the fact of the case more interesting on academic grounds at any rate is the process of education noticeable in pheasants in parts of the country where they are regularly shot sport is a great educator fox is certainly and has probably run faster for being hunted indeed the fox appears to have acquired pace solely as a result of the chase since it does not thicker in the bible as a swift creature the genuine wild pheasant in it's native region a little beyond the caucasus is in all probability a very different bird from it's half domesticated kinsmen in britain i have been close,2358.42 ms,0.04,Success
dataset/kaggle/Speaker0033/Speaker0033_009.wav,60000.36 ms,mlx_whisper," and bread sauce and not in the company of cold lettuce. Those who insist on the English method of serving it should quote the learned Freeman, who, when confronted with the continental alternative, complained bitterly that he was not a silkworm. End of chapter 1, recording by Ruth Golden. Chapter 2 of Birds in the calendar. This Libre Fox recording is in the public domain, recording by Ruth Golden. Birds in the calendar by Frederick G. Athlalo. February the Woodcock. There are many reasons why the Woodcock should be prized by the winter sportsmen more than any other bird in the bag. In the first place there is its scarcity, half a dozen to every hundred fessants, wood in most parts of the country be killed.",563.50 ms,0.01,Success
dataset/kaggle/Speaker0033/Speaker0033_009.wav,60000.36 ms,apple_speech,Isn't bread sauce and not in the company of cold lettuce those who insist on the English method of serving it should quote the learned Freeman who went confronted with the continental alternative complained bitterly that he was not a silkworm end of chapter 1 recording by Ruth Goulding chapter 2 of birds in the calendar this liberal box recording is in the public domain recording by Ruth Goulding birds in the calendar by Frederick G Afflalo February the Woodcock there are many reasons why the Woodcock should be priced by the winter sportsman more than any other bird in the bag in the first place there is it scarcity half a dozen to every hundred pheasants wood in most parts of the country,2919.85 ms,0.05,Success
dataset/kaggle/Speaker0033/Speaker0033_009.wav,60000.36 ms,whisper_cpp,"[t0=0, t1=692, text=and bread source, and not in the company of cold lettuce. Those who insist on the English, t0=692, t1=1296, text=method of serving it should quote the learned Freeman, who, when confronted with the, t0=1296, t1=2212, text=continental alternative, complained bitterly that he was not a silkworm., t0=2212, t1=2736, text=End of Chapter 1, Recording by Ruth Golding, t0=2736, t1=3048, text=To Two of Birds in the Calendar, t0=3048, t1=3724, text=This Libri Fox recording is in the public domain, recording by Ruth Golding. Birds in, t0=3724, t1=4464, text=the calendar by Frederick G. Aflalo, February the Woodcock., t0=4464, t1=4960, text=There are many reasons why the Woodcock should be prized by the Winter Sportsman more than, t0=4960, t1=5620, text=any other bird in the bag. In the first place there is its scarcity, half a dozen, t0=5620, t1=6004, text=to every hundred fessence, or did most parts of the country be considered?]",507.55 ms,0.01,Success
dataset/kaggle/Speaker0033/Speaker0033_009.wav,60000.36 ms,openai_whisper," and bread source, and not in the company of cold lettuce. Those who insist on the English method of serving it should quote the learned Freeman, who, when confronted with the continental alternative, complained bitterly that he was not a silkworm. End of Chapter 1, Recording by Ruth Golding To Two of Birds in the Calendar This Libri Fox recording is in the public domain, recording by Ruth Golding. Birds in the calendar by Frederick G. Aflalo, February the Woodcock. There are many reasons why the Woodcock should be prized by the Winter Sportsman more than any other bird in the bag. In the first place there is its scarcity, half a dozen to every hundred peasants, or in most parts of the country because...",1013.31 ms,0.02,Success
dataset/kaggle/Speaker0033/Speaker0033_009.wav,60000.36 ms,vosk,the bread source and noted in the company of code lettuce those who insist on the english method of serving it should quote the learned freeman who when confronted with the continental alternative complained bitterly that he was knocked a silkworm end of chapter one recording by roof golding chapter to of birds in the calendar this liberal fox recording is in the public domain recording by bruce golding birds in the calendar by frederick t afflalo february the woodcock there are many reasons why the woodcock should be prized by the winter sportsman more than any other bird in the bag in the first place there is it scarcity half a dozen to every hundred pheasants would in most parts of the country because,2240.38 ms,0.04,Success
dataset/kaggle/Speaker0033/Speaker0033_010.wav,60000.36 ms,mlx_whisper," considered a proportion at which none could grumble, and there are many days on which not one is either seen or shot. Again, there is the bird's twisting flight, which particularly inside the cupboard makes it anything but an easy target. Serd and last, it is better to eat than any other of our wild birds, with the possible exception of the golden plethora. Taking one consideration with another then, it is not surprising that the first warning cry of woodcock over, from the beavers, should be the signal for a sharp and somewhat erratic fuselage along the line, a salvo which the beavers themselves usually honour by crouching out of harm's way, since they know from experience that even ordinarily cool and collected shots are sometimes apt to be fired with a sudden seal to shoot the little bird, which may cost.",588.26 ms,0.01,Success
dataset/kaggle/Speaker0033/Speaker0033_010.wav,60000.36 ms,apple_speech,Considered a proportion at which none could grumble and there are many days on which not one is either seen or short again there is the birds twisting flight which particularly inside the cupboard makes it anything but an easy target third and last it is better to eat than any other of our wild birds with the possible exception of the golden flower taking one consideration with another then it is not surprising that the first warning cry of Woodcock over from the beaters should be the signal for a shop and somewhat erratic fusil delayed along the line a salvo which the beaters themselves usually Awnaw by crouching out of harms way since they know from experience that even ordinarily cool and collected shots are sometimes asked to be fired with a sudden zeal to shoot the little bird which may,4126.07 ms,0.07,Success
dataset/kaggle/Speaker0033/Speaker0033_010.wav,60000.36 ms,whisper_cpp,"[t0=0, t1=520, text=considered a proportion at which none could grumble, and there are many days on which, t0=520, t1=1072, text=not one is either seen or short. Again, there is the bird's twisting, t0=1072, t1=1860, text=flight, which, particularly inside the covet, makes it anything but an easy target., t0=1860, t1=2408, text=Third and last, it is better to eat than any other of our wild birds, with the possible, t0=2408, t1=3168, text=exception of the golden pluffer. Taking one consideration with another then, it is not surprising, t0=3168, t1=3780, text=that the first warning cry of ""woodcock over"" from the beaters should be the signal for, t0=3780, t1=4456, text=a sharp and somewhat erratic fuselage along the line, a salvo which the beaters themselves, t0=4456, t1=5076, text=usually honour by crouching out of harm's way, since they know from experience that, t0=5076, t1=5744, text=even ordinarily cool and collected shots, are sometimes apt to be fired with a sudden seal, t0=5744, t1=6000, text=to shoot the little bird, which may cause]",575.13 ms,0.01,Success
dataset/kaggle/Speaker0033/Speaker0033_010.wav,60000.36 ms,openai_whisper," considered a proportion at which none could grumble, and there are many days on which not one is either seen or short. Again, there is the bird's twisting flight, which, particularly inside the covet, makes it anything but an easy target. Third and last, it is better to eat than any other of our wild birds, with the possible exception of the golden plover. Taking one consideration with another then, it is not surprising that the first warning cry of woodcock over, from the beaters, should be the signal for a sharp and somewhat erratic fuselage along the line, a salvo which the beaters themselves usually honour by crouching out of harm's way, since they know from experience that even ordinarily cool and collected shots, are sometimes out to be fired with a sudden seal to shoot the little bird, which may cost.",1006.11 ms,0.02,Success
dataset/kaggle/Speaker0033/Speaker0033_010.wav,60000.36 ms,vosk,sit at a proportion at which none could grumble and there are many days on which not one is i the scene or shot again there is the birds twisting flight which particularly inside the covet makes it anything but an easy target third and last it is better to eat than any other of our wild birds with the possible exception of the golden plover taking one consideration with another then it is not surprising that the first warning cry of woodcock over from the beat it should be the signal for a shop and somewhat erratic fusillade along the line a salvo which the beaches themselves usually honor by crouching out of harm's way since they know from experience that even ordinarily cool and collected shots are sometimes and to be fired with a sudden the seal to shoot the little bird which may call,2414.45 ms,0.04,Success
dataset/kaggle/Speaker0033/Speaker0033_011.wav,60000.36 ms,mlx_whisper," one of them his eyesight. According to the poet, lonely woodcocks haunt the watery gleeed. And so no doubt they do at meal time after sunset, but we are more used to flushing them amid dry brakken, or in the course of some frozen ditch. Quite a part, however, from its exhilarating effect on the sportsman, the bird has acquired interest for the naturalist. Since in its food its breeding habits, its travels and its appearance, it combines more peculiarities than perhaps any other bird, certainly than any other of the sportsman's birds, in these islands. It is not legally speaking a game bird, and was not included in the act of 1824, but a game license is required for shooting it. And it enjoys since 1880, the protection",640.87 ms,0.01,Success
dataset/kaggle/Speaker0033/Speaker0033_011.wav,60000.36 ms,apple_speech,One of them his eyesight according to the poet lonely woodcocks haunted the watery Glade and so no doubt they do at meal time after sunset but we are more used to flushing them or mid dry Bracken or in the course of some frozen ditch quite a part however from its exhilarating effect on the sportsman the bird has quieter interests for the naturalist since in its food it's breeding habits it's travels and it's appearance it combines more peculiarities than perhaps any other bird certainly than any other of the sportsman's birds in these islands it is not legally speaking a gamebird and was not included in the act of 1824 but a game license is required for shooting it and it enjoys since 1880 the protection recorded to,2716.76 ms,0.05,Success
dataset/kaggle/Speaker0033/Speaker0033_011.wav,60000.36 ms,whisper_cpp,"[t0=0, t1=792, text=one of them his eyesight. According to the poet, lonely woodcoks haunt the watery glade., t0=792, t1=1576, text=And so no doubt they do at mealtime after sunset, but we are more used to flushing them a mid-dry, t0=1576, t1=2352, text=bracken, or in the course of some frozen ditch. Quite a part, however, from its exhilarating effect, t0=2352, t1=3120, text=on the sportsman, the bird has quieter interests for the naturalist. Since in its food, its breeding, t0=3120, t1=3808, text=habits, its travels and its appearance, it combines more peculiarities than perhaps any other, t0=3808, t1=4304, text=bird, certainly than any other of the sportsman's birds in these islands., t0=4304, t1=5184, text=It is not legally speaking a game bird and was not included in the act of 1824,, t0=5248, t1=5904, text=but a game license is required for shooting it, and it enjoys since 1880, the protection]",535.17 ms,0.01,Success
dataset/kaggle/Speaker0033/Speaker0033_011.wav,60000.36 ms,openai_whisper," one of them his eyesight. According to the poet, lonely woodcoks haunt the watery glade. And so no doubt they do at mealtime after sunset, but we are more used to flushing them a mid-dry bracken, or in the course of some frozen ditch. Quite a part, however, from its exhilarating effect the sportsman. The bird has quieter interests for the naturalist. Since in its food, its breeding habits, its travels and its appearance, it combines more peculiarities than perhaps any other bird certainly than any other of the sportsman's birds in these islands. It is not legally speaking a game bird and was not included in the act of 1824, but a game license is required for shooting it and it enjoys since 1880 the protection accorded to up.",966.19 ms,0.02,Success
dataset/kaggle/Speaker0033/Speaker0033_011.wav,60000.36 ms,vosk,one of them his eyesight according to the poet lonely would cox haunt the watery glade and so no doubt they do at mealtime after sunset but we are more used to flushing them amid drive bracken or in the course of some frozen ditch quite apart however from it's exhilarating effect on the sportsman the bird has quieter interests for the naturalist since in its food its breeding habits it's travels and it's appearance it combines more peculiarities than perhaps any other bird certainly than any other of the sports birds in these islands it is not legally speaking a game bird and was not included in the act of eighteen twenty four but a game license is required for shooting it and it enjoys since eighteen eighty the protection accorded to,2325.14 ms,0.04,Success
dataset/kaggle/Speaker0033/Speaker0033_012.wav,60000.36 ms,mlx_whisper," the wild birds. This is excellent so far as it goes, but it ought to be protected during the same period as the Feznt, particularly now that it is once more established as a resident species all over Britain and Ireland. This new epoch in the history of its adventures in these islands is the work of the wild birds protection acts. In olden times when half of Britain was under forest and when guns were not yet invented that could shoot flying, woodcocks must have been much more plentiful than they are today. In those times the bird was taken on the ground in springes or when roating in the mating season in nets known as shots that were hung between the trees. When the forest area receded, the resident birds must have dwindled to the verge of extinction. For on more than one occasion we find...",633.64 ms,0.01,Success
dataset/kaggle/Speaker0033/Speaker0033_012.wav,60000.36 ms,apple_speech,The wild birds this is excellent so far as it goes but it ought to be protected during the same period as the pheasant particularly now that it is once more established as a resident species all over Britain and Ireland this new Epoque in the history of its adventures in these islands is the work of the wild birds protection acts in olden times when half of Britain was on the forest and when guns were not yet invented that could shoot flying woodcocks must've been much more plentiful than they are today in those times the bird was taken on the ground in springes or when Roading in the mating season in nets Nonna shots that were hung between the trees when the forest area receded the resident birds must have dwindled to the verge of extinction for on more than one occasion,3120.75 ms,0.05,Success
dataset/kaggle/Speaker0033/Speaker0033_012.wav,60000.36 ms,whisper_cpp,"[t0=0, t1=684, text=the Wild Birds. This is excellent so far as it goes, but it ought to be protected during, t0=684, t1=1240, text=the same period as the pheasant, particularly now that it is once more established as a, t0=1240, t1=2036, text=resident species all over Britain and Ireland. This new epoch in the history of its adventures, t0=2036, t1=2776, text=in these islands is the work of the Wild Birds Protection Acts. In olden times when half, t0=2776, t1=3412, text=of Britain was under forest and when guns were not yet invented that could shoot flying,, t0=3412, t1=3920, text=wood-cocks must have been much more plentiful than they are today., t0=3920, t1=4504, text=In those times the bird was taken on the ground in springes or when roting in the mating, t0=4504, t1=5248, text=season in nets known as shots that were hung between the trees. When the forest area, t0=5248, t1=5868, text=receded, the resident birds must have dwindled to the verge of extinction. For on more than, t0=5868, t1=6004, text=one occasion we find]",560.76 ms,0.01,Success
dataset/kaggle/Speaker0033/Speaker0033_012.wav,60000.36 ms,openai_whisper," the Wild Birds. This is excellent so far as it goes, but it ought to be protected during the same period as the pheasant, particularly now that it is once more established as a resident species all over Britain and Ireland. This new epoch in the history of its adventures in these islands is the work of the Wild Birds Protection Acts. In olden times when half of Britain was under forest and when guns were not yet invented that could shoot flying, wood-cocks must have been much more plentiful than they are today. In those times the bird was taken on the ground in springes or when roting in the mating season in nets known as shots that were hung between the trees. When the forest area receded, the resident birds must have dwindled to the verge of extinction. For on more than one occasion we fight",987.67 ms,0.02,Success
dataset/kaggle/Speaker0033/Speaker0033_012.wav,60000.36 ms,vosk,the wild birds this is excellent so far as it goes but it ought to be protected during the same period as the pheasant particularly now that it is once more established as a resident species all over britain and ireland this new epoch in the history of it's adventures in these islands is the work of the wild birds protection acts in olden times when half of britain was under forest and when guns were not yet invented that could shoot flying would clocks must have been much more plentiful than they are today in those times the bird was taken on the ground in spring jews or when routing in the mating season in nets known as shots that were hung between the trees when the forest area receded the resident birds must have dwindled to the verge of extinction for on more than one occasion we find,2265.97 ms,0.04,Success
dataset/kaggle/Speaker0033/Speaker0033_015.wav,60000.36 ms,mlx_whisper," Paulus Rostero Portat, and it was old Gilbert White, who with his usual eye to the practical, doubted whether so long and sender a bill could be turned to such a purpose. More recent observation has confirmed white subjection, and has established the fact of the woodcock holding the young one between her thighs, the beak being apparently used to steady her burden. Whether the little ones are habitually carried about in this fashion, or merely on occasion of danger, is not known. And indeed the bird's preference for activity in the dusk has invested accurate observation of its habits with some difficulty. Among well-known sportsmen who are actually so fortunate as to have witnessed this interesting performance, passing mention may be made of the late Duke of Beaufort, the honorable grantly buckley.",609.98 ms,0.01,Success
dataset/kaggle/Speaker0033/Speaker0033_015.wav,60000.36 ms,apple_speech,Pull Rostro Porta and it was old Gilbert White who with his usual eye to the practical doubted whether so long and send her a bill could be turned to such a purpose more recent observation has confirmed white subjection and has established the fact of the woodcock holding the young one between her thighs the beak being apparently used to steady her burden whether the little ones are habitually carried about in this fashion or merely on occasion of danger is not known and indeed the birds preference for activity in the dusk as invested accurate observation of its habits with some difficulty among well-known sportsman who are actually so fortunate as to have witnessed this interesting performance passing mention may be made at the late Duke of Beaufort the honorable grant Lee Barkley,2817.45 ms,0.05,Success
dataset/kaggle/Speaker0033/Speaker0033_015.wav,60000.36 ms,whisper_cpp,"[t0=0, t1=780, text=""Puloste rostro portet"" and it was old Gilbert White, who with his usual eye to the practical,, t0=780, t1=1480, text=doubted whether so long and slender a bill could be turned to such a purpose., t0=1480, t1=2008, text=More recent observation has confirmed white's objection, and has established the fact, t0=2008, t1=2618, text=of the Woodcock holding the young one between her thighs, the beak being apparently used, t0=2618, t1=2968, text=to steady her burden., t0=2968, t1=3480, text=Other the little ones are habitually carried about in this fashion, or merely on occasion, t0=3480, t1=3792, text=of danger, is not known., t0=3792, t1=4384, text=And indeed the bird's preference for activity in the dusk has invested accurate observation, t0=4384, t1=4780, text=of its habits with some difficulty., t0=4780, t1=5320, text=Among well-known sportsmen who are actually so fortunate as to have witnessed this interesting, t0=5320, t1=5888, text=performance, passing mention may be made of the late Duke of Bofut, the honourable, t0=5888, t1=6000, text=will grant the Berkeley.]",564.48 ms,0.01,Success
dataset/kaggle/Speaker0033/Speaker0033_015.wav,60000.36 ms,openai_whisper," Paulos Rostero Portette. And it was Old Gilbert White, who with his usual eye to the practical, doubted whether so long and slender a bill could be turned to such a purpose. More recent observation has confirmed white's objection, and has established the fact of the Woodcock holding the young one between her thighs, the beak being apparently used to steady her burden. Whether the little ones are habitually carried about in this fashion, or merely on occasion of danger, is not known. And indeed the bird's preference for activity in the dusk has invested accurate observation of its habits with some difficulty. Among well-known sportsmen who are actually so fortunate as to have witnessed this interesting performance, passing mention may be made of the late Duke of Bofet, the honourable",1032.85 ms,0.02,Success
dataset/kaggle/Speaker0033/Speaker0033_015.wav,60000.36 ms,vosk,poor last roster oh poor cat and it was old gilbert white who with his usual i to the practical doubted whether so long and slender a bill could be turned to such a purpose more recent observation has confirmed white objection and has established fact the woodcock holding the young one between her thighs the beak being apparently used to steady her burden whether the little ones i habitually carrot about in this fashion or merely on occasion of danger is not known and indeed the birds preference for activity in the dusk has invested accurate observation of it's habits with some difficulty among well known sportsman who were actually so fortunate as to have witnessed is interesting performance passing mention may be made of the late duke of beaufort the honorable grandly barkley,2472.22 ms,0.04,Success
dataset/kaggle/Speaker0033/Speaker0033_017.wav,60000.36 ms,mlx_whisper," from the quivering of the primaries, as the large quill feathers of the wings are called. Other naturalists, however, have preferred to associate it with the spreading tail feathers. Whether these eccentric gymnastics are performed as displays, with a view to impressing at miring females, or whether they are merely the result of excitement at the pairing season, cannot be determined. It is safe to assume that they aim at one or other of these objects, and further no one can go with any certainty. The word Roding ROD-I-NG is built ROD-I-NG by Newton, who adhesives the preference to the Anglo-Saxon description of the aerial tracks followed by the bird, over the alternative derivation from the French Horde, which means...",573.27 ms,0.01,Success
dataset/kaggle/Speaker0033/Speaker0033_017.wav,60000.36 ms,apple_speech,It's from the quivering of the primaries as the large quilt feathers of the wings are called other naturalist however have preferred to associate it with the spreading tail feathers whether these eccentric gymnastics are performed as displays with a few to impressing admiring females or whether they are merely the result of excitement at the pairing season cannot be determined it is safe to assume that they aim at one or other of these objects and further no one can go with any certainty the word rowing RODING is spelt ROADING by Newton who else gives the preference to the Anglo-Saxon description of the aerial tracks followed by the bird over the alternative derivation from the French holiday day which means,3118.90 ms,0.05,Success
dataset/kaggle/Speaker0033/Speaker0033_017.wav,60000.36 ms,whisper_cpp,"[t0=0, t1=736, text=from the quivering of the primaries, as the large quill feathers of the wings are called., t0=736, t1=1504, text=Other naturalists, however, have preferred to associate it with the spreading tail feathers., t0=1504, t1=2058, text=Whether these eccentric gymnastics are performed as displays, with a view to impressing, t0=2058, t1=2696, text=admiring females, or whether they are merely the result of excitement at the pairing season,, t0=2696, t1=2964, text=cannot be determined., t0=2964, t1=3496, text=It is safe to assume that they aim at one or other of these objects, and further no one, t0=3496, t1=3856, text=can go with any certainty., t0=3856, t1=4324, text=The word ""roading"" are OD-ING., t0=4324, t1=5156, text=It's spelled R-O-A-D-I-N-G by Newton, who'd ask if the preference to the Anglo-Saxon, t0=5156, t1=5740, text=description of the aerial tracks followed by the bird over the alternative derivation from, t0=5740, t1=6000, text=the French 'Haud des' which means to...]",599.26 ms,0.01,Success
